"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","negLogP","PointSize","Significance"
"clvs2",1067.06543340545,0.421490015034825,0.37637384913268,1.11987061802012,0.262768900696343,0.665822002108873,"clvs2",0.580426035821489,0.290213017910744,"No significativo"
"chmp1b",3404.94426595405,-0.241550336114521,0.375522779941132,-0.643237505198452,0.520070000569195,0.836737372885886,"chmp1b",0.283938197105803,0.141969098552902,"No significativo"
"chmp1a",2655.01630206384,0.530617072428943,0.246012705698194,2.15686856873116,0.0310159065773469,0.251893673656687,"chmp1a",1.50841552013226,0.754207760066128,"No significativo"
"soat2",548.008984210023,-0.833258245268816,0.554238219303561,-1.50342978208154,0.132728251452952,0.500439864749424,"soat2",0.8770366269152,0.4385183134576,"No significativo"
"soat1",12.4733023578836,0.735852055611669,2.77628244608305,0.265049421268306,0.790971390143876,NA,"soat1",0.10183922488077,0.0509196124403852,"No significativo"
"ftr43",41.8768302131083,-0.0770519689396287,1.64894643399538,-0.0467279999829544,0.962730013955959,NA,"ftr43",0.0164954884608655,0.00824774423043275,"No significativo"
"opa1",2587.22739806663,-0.286937880061695,0.198369083847018,-1.44648487807193,0.148041250408165,0.523810885211735,"opa1",0.829617255358385,0.414808627679193,"No significativo"
"drd4b",30.3910937798422,-4.68190232423935,2.28213208756886,-2.05154747603893,0.0402136611839827,NA,"drd4b",1.39562638549898,0.697813192749491,"Negativo"
"vim",4279.4160547232,0.31751818869865,0.18723989405209,1.6957827833972,0.0899270241351611,0.41782935213958,"vim",1.04610977802057,0.523054889010285,"No significativo"
"drd4a",399.226996864536,-0.945019737149704,0.503845550906151,-1.87561393655281,0.0607083113117877,0.347782590694654,"drd4a",1.21675184747909,0.608375923739545,"No significativo"
"zgc:101040",56.4782613823293,1.37677299221175,1.64784664901206,0.835498250421041,0.403437231614351,NA,"zgc:101040",0.39422402496675,0.197112012483375,"No significativo"
"esm1",383.314778552182,0.236461891205011,0.426929622275732,0.553866208544069,0.579670412647498,0.863559113392345,"esm1",0.23681886618409,0.118409433092045,"No significativo"
"fam149b1",1331.88229981062,-1.22047532271228,0.385348245350525,-3.16720093431877,0.00153913930254148,0.0405597664562274,"fam149b1",2.81272207179474,1.40636103589737,"Negativo"
"trmt11",246.382292497024,-0.00722697760134981,0.942402540326029,-0.00766867372709925,0.99388134360293,0.999051089893772,"trmt11",0.00266546157298759,0.00133273078649379,"No significativo"
"trmt12",313.010197651145,0.253465738419546,0.599270654271207,0.422957033876111,0.672326609520723,0.901944448915339,"trmt12",0.172419699783024,0.0862098498915119,"No significativo"
"trmt13",81.3026202854415,0.0777399333613911,0.929353018156474,0.0836495194426776,0.9333350940493,NA,"trmt13",0.0299624040897571,0.0149812020448785,"No significativo"
"col8a1a",0.851560045459201,0,4.85660611198597,0,1,NA,"col8a1a",0,0,"No significativo"
"poglut3",49.2149529808843,-0.424071259056357,0.980662004947259,-0.432433659015028,0.665426259140159,NA,"poglut3",0.176900064942023,0.0884500324710114,"No significativo"
"aldh6a1",2545.1962187687,0.134336057708604,0.251064620741322,0.535065662823971,0.592604452771842,0.867759750079999,"aldh6a1",0.227235089597489,0.113617544798744,"No significativo"
